logFC logCPM F PValue FDR
ENSMUSG00000047517 -4.85852974711744 0.814910034461814 165.833985164748 5.00432861589468e-13 1.64272091145359e-08
ENSMUSG00000018920 -1.02028524920765 6.99103836828638 137.699701749292 4.246526460975e-12 6.96982388039827e-08
ENSMUSG00000032122 -1.49026116316589 4.05530731950522 131.772107483708 2.61400693865853e-11 2.86024639228017e-07
ENSMUSG00000049382 -1.15095012885865 7.36405647884545 126.77735926346 4.77686304619704e-11 3.9201326588616e-07
ENSMUSG00000048806 -4.26561603115818 0.163395069211181 102.788417339957 1.07947245224157e-10 6.08590324633934e-07
ENSMUSG00000005054 -0.854207509938916 6.12176610636824 102.502019695036 1.11239320898178e-10 6.08590324633934e-07
ENSMUSG00000024696 -1.04650482369645 4.3881650790724 90.0435175363926 4.67802159436611e-10 2.19372481223803e-06
ENSMUSG00000024659 -0.725654474478457 8.27709725587009 87.0819504747687 6.24596222459064e-10 2.56287444980515e-06
ENSMUSG00000021939 -0.910088037914222 9.77367520898937 84.9022713533113 8.1232645399719e-10 2.96282535321242e-06
ENSMUSG00000052688 -1.37205420561676 4.8904633635925 121.154920750955 1.09368688561568e-09 3.26189066209471e-06
ENSMUSG00000024059 -0.82031449392446 5.95617496298834 82.0397071187329 1.15635928805913e-09 3.26189066209471e-06
ENSMUSG00000032946 0.742405977875905 6.74114640474092 81.7942526770497 1.19242941403572e-09 3.26189066209471e-06
ENSMUSG00000001630 -0.684666021670932 4.74029778376164 77.2206029425305 2.14165704583643e-09 5.40784878358668e-06
ENSMUSG00000024008 1.56316776177315 2.56141123620099 76.1787719639017 2.45620944672067e-09 5.75910937843235e-06
ENSMUSG00000039208 -0.816393919278602 4.91883676766269 75.2373648961908 2.7833746092978e-09 5.93959855274398e-06
ENSMUSG00000017652 -0.931307898077642 4.97014461814046 80.7173388805023 2.92193880956466e-09 5.93959855274398e-06
ENSMUSG00000027230 -0.810404010847677 5.0694263187634 73.9392041635505 3.3135792389986e-09 5.93959855274398e-06
ENSMUSG00000051397 -0.89320652651008 6.00803956981261 81.9487700499715 3.59167469749583e-09 5.93959855274398e-06
ENSMUSG00000028327 -1.99794830339567 2.30862651363626 83.4237288963522 3.6634177045647e-09 5.93959855274398e-06
ENSMUSG00000035914 -1.11252460278037 3.56892663895576 72.9477894782182 3.79139946307388e-09 5.93959855274398e-06
ENSMUSG00000018411 0.838951206056239 7.40279661535617 74.2763219785203 4.17378345563776e-09 5.93959855274398e-06
ENSMUSG00000017754 0.771505504216704 8.90601245115877 72.2403038643977 4.1774322586232e-09 5.93959855274398e-06
ENSMUSG00000037003 0.754606147753494 8.08002172730216 72.1317950981202 4.24028361677292e-09 5.93959855274398e-06
ENSMUSG00000072621 -1.47967848153176 2.51921670838191 71.9587879375546 4.34260541235166e-09 5.93959855274398e-06
ENSMUSG00000064147 1.0174184008079 4.0208525584045 70.7189769066592 5.15826363051707e-09 6.77300647741413e-06
ENSMUSG00000038296 0.706123119498616 6.91796231981544 69.8865251912506 5.7974762253636e-09 7.04193220434796e-06
ENSMUSG00000026548 -1.46069669937793 4.72220636943779 112.628985427002 5.82351799900317e-09 7.04193220434796e-06
ENSMUSG00000030077 -2.65415266550344 1.0410049747056 75.2882226592163 6.00664417601117e-09 7.04193220434796e-06
ENSMUSG00000021190 -1.13043055109869 7.88728437138227 93.0607462512704 6.44881031435928e-09 7.29960853031579e-06
ENSMUSG00000053113 -0.725393829789938 6.47919080104814 68.2831038937796 7.28158079306069e-09 7.96750570376701e-06
ENSMUSG00000049303 -1.89071607372032 1.13200352836699 67.4826610869551 8.17104163644688e-09 8.65234234703243e-06
ENSMUSG00000042099 0.709588450711613 7.73248067109269 66.7418516067448 9.09885430917815e-09 9.33371848603381e-06
ENSMUSG00000047407 -0.901377391814269 4.95981344216753 72.9070794555815 9.90644453848152e-09 9.3923373044827e-06
ENSMUSG00000021567 0.84724419391837 3.77635775077306 66.1031455517487 9.98990032467648e-09 9.3923373044827e-06
ENSMUSG00000097336 1.00373054680946 7.87298510721774 81.3373318386366 1.0014372925635e-08 9.3923373044827e-06
ENSMUSG00000025348 -0.898274787956267 5.02372739340335 72.0021942365025 1.19093127551597e-08 1.08593083472464e-05
ENSMUSG00000050953 -0.72089891374792 6.26625305427384 64.7097280617169 1.22764559141591e-08 1.08915389685996e-05
ENSMUSG00000029641 -0.76529514710843 4.42536590760801 64.2568076611496 1.31361191578912e-08 1.13475328283404e-05
ENSMUSG00000024663 -0.750732788703275 4.10482555974943 63.326775079059 1.51110474341875e-08 1.27188523865292e-05
ENSMUSG00000024168 0.682194414754468 7.18031456880133 62.7126167400529 1.65887651143971e-08 1.361357009113e-05
ENSMUSG00000010307 -0.910855567107736 4.56281700823183 67.547202698853 1.75501133094207e-08 1.4051219987684e-05
ENSMUSG00000047230 -2.41940067492443 0.838422387639009 62.1473934384623 1.80865592500991e-08 1.41359379510418e-05
ENSMUSG00000039364 -2.44330246254327 0.558023967096635 61.5499487513485 1.98291018453177e-08 1.51374441203349e-05
ENSMUSG00000026020 -0.660010448374748 5.76666806455636 60.8983623200253 2.19374001240494e-08 1.61028670370654e-05
ENSMUSG00000028007 -0.624503797131594 5.02414508524193 60.7483465224542 2.2456147282032e-08 1.61028670370654e-05
ENSMUSG00000034854 -0.580480159263143 5.64788411224938 60.7172261963464 2.2565401928502e-08 1.61028670370654e-05
ENSMUSG00000038550 1.01829878797119 4.08781166679478 63.2483092268179 2.75125221404887e-08 1.92154479102911e-05
ENSMUSG00000028940 1.63365793805424 1.78334969229449 59.1770137617301 2.87560904245807e-08 1.94339122306438e-05
ENSMUSG00000030083 0.688836103784253 5.3360730476855 58.9605310431475 2.97633789942764e-08 1.94339122306438e-05
ENSMUSG00000024732 -0.843037972516223 4.29191246014319 58.907927278069 3.00138268411526e-08 1.94339122306438e-05
ENSMUSG00000006818 -0.595174261474322 6.78995360186359 58.8704933229272 3.01934297131187e-08 1.94339122306438e-05
ENSMUSG00000001240 0.81554458181653 8.08843847973744 63.2089724718563 3.0826911187823e-08 1.94600805125284e-05
ENSMUSG00000047281 -1.10700189421807 4.40346865088627 73.1392037580039 3.2465528129901e-08 1.96760514656185e-05
ENSMUSG00000026321 -1.05194271682751 3.68839820876232 59.1903104299387 3.27167306510183e-08 1.96760514656185e-05
ENSMUSG00000028362 -1.19772361160013 2.54747562139737 58.3209659819826 3.29672464086095e-08 1.96760514656185e-05
ENSMUSG00000020953 -2.03431461633188 0.748602067983459 57.6357506118871 3.68155653073624e-08 2.1580495478205e-05
ENSMUSG00000038335 -0.615193627441487 5.06572922002664 57.4990385160994 3.76396491951787e-08 2.15924036592225e-05
ENSMUSG00000048621 -1.08706136070077 2.68053841588654 57.4157429384531 3.81514473964206e-08 2.15924036592225e-05
ENSMUSG00000019987 -1.5712768961893 1.79743356422768 57.1329205245366 3.99457782156962e-08 2.19327970150134e-05
ENSMUSG00000023947 -0.713905392705536 4.82101115988093 56.9980425322207 4.08332484618505e-08 2.19327970150134e-05
ENSMUSG00000038390 -2.41782708334172 0.407689393677075 56.9177464134032 4.13716253483163e-08 2.19327970150134e-05
ENSMUSG00000024810 -0.759109644860262 6.6929061070108 60.4322042055398 4.14254985356373e-08 2.19327970150134e-05
ENSMUSG00000031891 -1.62475679123845 1.2353228996211 56.5121410742111 4.42102985905086e-08 2.30356708179688e-05
ENSMUSG00000090086 0.625092972704789 5.74527178164244 55.8335454157172 4.94383368797397e-08 2.5357231975224e-05
ENSMUSG00000032076 0.610949532053594 7.40954057245326 55.5480007276719 5.18335378713618e-08 2.61767340640819e-05
ENSMUSG00000078716 0.778865784745521 4.20541930420512 55.4102833159103 5.30330541378766e-08 2.63680188261441e-05
ENSMUSG00000056602 0.652927430706226 5.72424948531098 55.3218692952573 5.38188405943964e-08 2.63680188261441e-05
