logFC logCPM F PValue FDR
ENSMUSG00000037321 2.9495411514484 8.73784721094185 731.300065978129 3.26780017447761e-20 8.42693781538912e-16
ENSMUSG00000072620 2.45222260602243 7.65713298104595 607.207613322435 5.13430683932804e-20 8.42693781538912e-16
ENSMUSG00000078920 3.0385585274517 8.17543490950769 730.122430800167 2.3721613755132e-19 2.59561897708655e-15
ENSMUSG00000026222 1.92981080143316 8.12221469515424 515.254938968453 4.25237241101679e-19 3.22764342516747e-15
ENSMUSG00000070034 2.04088373538482 6.21835219794682 509.458291646922 4.91629108811227e-19 3.22764342516747e-15
ENSMUSG00000096727 2.07828582654471 7.3577644186607 475.59199343922 1.18565466473954e-18 6.48671667079003e-15
ENSMUSG00000033355 3.06381541096613 7.29587292323988 714.401171314769 2.04744039028003e-18 9.60132546447602e-15
ENSMUSG00000043832 1.92619983764737 5.40748607173143 441.820094021419 3.03276518892911e-18 1.24441937614734e-14
ENSMUSG00000058715 1.95203991892534 6.91747665238595 426.875531139797 4.69703621507274e-18 1.67448769690968e-14
ENSMUSG00000078921 3.59657650181061 6.19550146414084 850.237746653777 5.10110186105429e-18 1.67448769690968e-14
ENSMUSG00000016206 1.77738670375353 5.90502662458152 413.626581328796 7.00765091855473e-18 2.09121044593161e-14
ENSMUSG00000052160 1.92282912335791 6.96557454246225 396.705685080251 1.18919578096858e-17 3.25304505883954e-14
ENSMUSG00000032596 2.02235166601076 7.90488809093351 394.03581189341 2.81313306990182e-17 6.61576570317477e-14
ENSMUSG00000049037 2.27645294563489 5.19989422603711 450.154907706757 2.82156582722375e-17 6.61576570317477e-14
ENSMUSG00000035929 2.15742762156911 9.41226825634861 406.798948167024 3.80635034191825e-17 8.3298170882539e-14
ENSMUSG00000002325 1.43374722609303 7.20408797150461 358.865605836936 4.20781832819536e-17 8.63286527758381e-14
ENSMUSG00000060131 2.16390944423848 5.01578587798266 396.178228981021 8.96119638810062e-17 1.7303543096223e-13
ENSMUSG00000004707 1.81895682602603 4.83299654307772 335.479409665022 9.79301499248709e-17 1.78591950079656e-13
ENSMUSG00000026946 1.67914648357554 6.03322580772008 333.183065570289 1.06711513734147e-16 1.84363797359848e-13
