gene_ID	GSM5112203	GSM5112204	GSM5112205	GSM5112206	GSM5112207	GSM5112208	GSM5112209	GSM5112210	GSM5112211	GSM5112212	GSM5112213	GSM5112214	GSM5112215	GSM5112216	GSM5112217
55060275	0	0	0	0	0	515	1113	682	1952	443	2	0	0	80	31
55060277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55060276	0	0	0	0	0	135	306	192	531	130	0	0	1	17	6
55060278	0	0	0	0	1	223	525	336	830	185	1	0	0	18	16
55060279	0	0	0	1	1	2822	6332	3992	8953	2485	12	1	7	230	170
55060280	0	0	0	0	0	487	1154	709	1562	502	2	0	0	48	31
55060281	0	0	0	0	1	558	1196	882	1648	433	2	0	0	43	32
55060282	0	0	0	0	0	516	1181	664	1463	407	2	0	1	58	30
55060283	0	0	0	0	2	3393	6490	4090	8551	2579	23	0	5	253	154
55060284	2	4	4	6	8	26295	50491	33592	65587	22514	234	8	34	2105	1434
